station,latitude,longitude,date
1,42.235032,-123.017016,2021-01-25
2,42.235032,-122.877016,2021-01-25
3,42.23503,-122.737016,2021-01-25
4,42.375032,-123.017016,2021-01-25
5,42.375032,-122.877016,2021-01-25
6,42.375032,-122.737016,2021-01-25
7,42.515032,-123.017016,2021-01-25
8,42.515032,-122.877016,2021-01-25
9,42.515032,-122.737016,2021-01-25
1,42.235032,-123.017016,2021-01-26
2,42.235032,-122.877016,2021-01-26
3,42.23503,-122.737016,2021-01-26
4,42.375032,-123.017016,2021-01-26
5,42.375032,-122.877016,2021-01-26
6,42.375032,-122.737016,2021-01-26
7,42.515032,-123.017016,2021-01-26
8,42.515032,-122.877016,2021-01-26
9,42.515032,-122.737016,2021-01-26
